MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     25453.40,     25505.10,     25587.50,     25384.35,     25405.30,967388184889.53,3955502851,Y, ,30985426,     26277.35,     21743.65
Y, , ,NIFTY50 EQL Wgt,     32008.60,     32061.15,     32164.35,     31930.45,     31954.30,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     33188.60,     33238.65,     33292.50,     33073.00,     33091.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     20166.70,     20201.70,     20321.45,     20176.75,     20213.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     53619.95,     53673.55,     53833.90,     53466.95,     53626.55,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     21940.15,     21987.75,     22065.85,     21930.50,     21977.25,0,0,Y, ,0,     22515.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      9160.60,      9173.50,      9219.15,      9161.55,      9198.70,0,0,Y, ,0,      9505.50,      6776.05
Y, , ,NIFTY SMLCAP 250,     17693.10,     17721.35,     17779.90,     17666.10,     17758.05,0,0,Y, ,0,     18688.30,     13314.70
Y, , ,NIFTY MIDSML 400,     20433.85,     20474.00,     20536.40,     20418.80,     20482.80,0,0,Y, ,0,     21177.60,     15832.85
Y, , ,NIFTY200 QUALTY30,     20953.10,     20995.80,     21109.75,     20978.50,     20998.85,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     29005.45,     29046.70,     29065.40,     28812.15,     28829.45,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     27079.80,     27117.50,     27185.10,     27031.60,     27052.55,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     31722.70,     31727.00,     31749.00,     31485.90,     31512.30,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      4268.80,      4279.35,      4291.55,      4259.00,      4262.15,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      4994.40,      5006.30,      5016.00,      4981.45,      4984.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     24912.65,     24960.55,     25110.65,     24925.00,     25040.75,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,     14581.75,     14615.35,     14694.90,     14595.45,     14604.45,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200 Alpha 30,     25824.35,     25868.65,     25916.45,     25741.25,     25772.30,0,0,Y, ,0,          .00,          .00
Y, , ,NiftyM150Momntm50,     63473.00,     63576.55,     63830.40,     63414.30,     63492.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     38879.10,     39009.85,     39203.70,     38803.75,     38854.30,0,0,Y, ,0,     46088.90,     30918.95
Y, , ,Nifty Next 50,     68729.80,     68800.85,     68889.80,     68305.35,     68355.85,0,0,Y, ,0,     77918.00,     56192.45
Y, , ,Nifty Bank,     56999.20,     57050.40,     57193.25,     56764.10,     56791.95,0,0,Y, ,0,     57628.40,     47702.90
Y, , ,NIFTY MIDCAP 100,     59667.25,     59798.60,     59955.50,     59613.55,     59683.25,0,0,Y, ,0,     60925.95,     46865.70
Y, , ,Nifty 500,     23547.25,     23591.80,     23647.10,     23503.55,     23521.85,0,0,Y, ,0,     24573.40,     19519.85
Y, , ,Nifty 100,     26068.05,     26116.60,     26173.60,     25984.40,     26003.00,0,0,Y, ,0,     27335.65,     22177.35
Y, , ,Nifty Midcap 50,     16840.20,     16884.75,     16941.10,     16838.65,     16860.80,0,0,Y, ,0,     17066.75,     13269.65
Y, , ,Nifty Realty,       970.05,       971.15,       974.15,       962.25,       963.15,0,0,Y, ,0,      1140.50,       765.80
Y, , ,Nifty Infra,      9429.05,      9447.35,      9472.05,      9388.85,      9399.70,0,0,Y, ,0,      9704.20,      7589.95
Y, , ,Nifty Energy,     36331.25,     36442.25,     36555.25,     36276.00,     36362.80,0,0,Y, ,0,     45022.15,     29313.20
Y, , ,Nifty FMCG,     54439.70,     54570.95,     54802.90,     54379.50,     54515.75,0,0,Y, ,0,     66438.70,     50199.35
Y, , ,Nifty MNC,     28841.35,     28883.45,     29012.05,     28851.80,     28882.05,0,0,Y, ,0,     32841.15,     23981.05
Y, , ,Nifty Pharma,     22110.80,     22155.75,     22238.35,     22103.95,     22204.25,0,0,Y, ,0,     23907.90,     19121.10
Y, , ,Nifty PSE,     10032.70,     10064.50,     10102.05,     10025.80,     10048.35,0,0,Y, ,0,     11814.60,      7956.45
Y, , ,Nifty PSU Bank,      7193.65,      7202.55,      7221.05,      7121.15,      7129.90,0,0,Y, ,0,      7542.55,      5530.35
